date,max_temp,min_temp,avg_temp
2026-01-01,17.5,11.3,14.4
2026-01-02,17.2,10.1,13.649999999999999
2026-01-03,15.5,9.6,12.55
2026-01-04,15.5,8.9,12.2
2026-01-05,17.1,8.3,12.700000000000001
2026-01-06,16.7,9.1,12.899999999999999
2026-01-07,15.0,7.3,11.15
2026-01-08,13.6,6.4,10.0
